,force
532,663.0
533,664.0
534,663.0
535,663.0
536,664.0
537,663.0
538,663.0
539,664.0
540,663.0
541,663.0
542,664.0
543,663.0
544,663.0
545,663.0
546,663.0
547,664.0
548,663.0
549,663.0
550,664.0
551,663.0
552,663.0
553,664.0
554,663.0
555,663.0
556,664.0
557,663.0
558,663.0
559,664.0
560,663.0
561,663.0
562,664.0
563,663.0
564,664.0
565,663.0
566,663.0
567,663.0
568,663.0
569,663.0
570,663.0
571,663.0
572,663.0
573,664.0
574,663.0
575,663.0
576,664.0
577,663.0
578,663.0
579,663.0
580,663.0
581,663.0
582,664.0
583,663.0
584,664.0
585,664.0
586,663.0
587,663.0
588,664.0
589,663.0
590,664.0
591,663.0
592,663.0
593,664.0
594,663.0
595,663.0
596,664.0
597,663.0
598,663.0
599,664.0
600,663.0
601,664.0
602,664.0
603,663.0
604,663.0
605,664.0
606,663.0
607,664.0
608,664.0
609,663.0
610,664.0
611,664.0
612,663.0
613,664.0
614,663.0
615,663.0
616,664.0
617,663.0
618,663.0
619,664.0
620,663.0
621,664.0
622,664.0
623,663.0
624,664.0
625,664.0
626,663.0
627,663.0
628,663.0
629,663.0
630,663.0
631,664.0
632,663.0
633,664.0
634,663.0
635,663.0
636,664.0
637,663.0
638,663.0
639,663.0
640,663.0
641,663.0
642,664.0
643,663.0
644,663.0
645,664.0
646,662.0
647,663.0
648,663.0
649,663.0
650,664.0
651,664.0
652,663.0
653,664.0
654,663.0
655,663.0
656,664.0
657,663.0
658,663.0
659,664.0
660,663.0
661,663.0
662,664.0
663,663.0
664,663.0
665,664.0
666,663.0
667,664.0
668,664.0
669,663.0
670,663.0
671,663.0
672,663.0
673,664.0
674,663.0
675,663.0
676,664.0
677,663.0
678,663.0
679,664.0
680,663.0
681,663.0
682,664.0
683,663.0
684,663.0
685,664.0
686,663.0
687,663.0
688,664.0
689,663.0
690,664.0
691,663.0
692,663.0
693,664.0
694,663.0
695,663.0
696,664.0
697,663.0
698,663.0
699,664.0
700,663.0
701,663.0
702,664.0
703,663.0
704,663.0
705,664.0
706,663.0
707,663.0
708,664.0
709,663.0
710,664.0
711,664.0
712,663.0
713,664.0
714,664.0
715,663.0
716,664.0
717,663.0
718,663.0
719,664.0
720,663.0
721,663.0
722,664.0
723,663.0
724,663.0
725,664.0
726,663.0
727,663.0
728,664.0
729,663.0
730,663.0
731,664.0
732,663.0
733,664.0
734,663.0
735,663.0
736,664.0
737,663.0
738,663.0
739,664.0
740,664.0
741,663.0
742,664.0
743,663.0
744,663.0
745,664.0
746,663.0
747,663.0
748,664.0
749,663.0
750,663.0
751,664.0
752,663.0
753,664.0
754,663.0
755,663.0
756,664.0
757,663.0
758,663.0
759,664.0
760,663.0
761,663.0
762,664.0
763,663.0
764,663.0
765,664.0
766,663.0
767,663.0
768,664.0
769,663.0
770,664.0
771,664.0
772,663.0
773,664.0
774,663.0
775,663.0
776,664.0
777,664.0
778,663.0
779,664.0
780,663.0
781,663.0
782,664.0
783,663.0
784,663.0
785,664.0
786,663.0
787,663.0
788,664.0
789,663.0
790,664.0
791,664.0
792,664.0
793,664.0
794,664.0
795,663.0
796,664.0
797,664.0
798,663.0
799,664.0
800,664.0
801,663.0
802,664.0
803,663.0
804,663.0
805,664.0
806,663.0
807,663.0
808,664.0
809,663.0
810,664.0
811,664.0
812,662.0
813,663.0
814,664.0
815,663.0
816,664.0
817,664.0
818,663.0
819,664.0
820,663.0
821,663.0
822,664.0
823,663.0
824,663.0
825,664.0
826,663.0
827,663.0
828,664.0
829,663.0
830,663.0
831,664.0
832,663.0
833,664.0
834,664.0
835,663.0
836,664.0
837,664.0
838,663.0
839,664.0
840,664.0
841,663.0
842,664.0
843,663.0
844,663.0
845,664.0
846,663.0
847,663.0
848,664.0
849,663.0
850,664.0
851,664.0
852,663.0
853,664.0
854,664.0
855,663.0
856,664.0
857,664.0
858,663.0
859,664.0
860,663.0
861,663.0
862,664.0
863,663.0
864,663.0
865,664.0
866,663.0
867,663.0
868,664.0
869,663.0
870,663.0
871,664.0
872,663.0
873,663.0
874,664.0
875,663.0
876,663.0
877,664.0
878,663.0
879,664.0
880,663.0
881,663.0
882,664.0
883,663.0
884,663.0
885,664.0
886,663.0
887,663.0
888,664.0
889,664.0
890,663.0
891,664.0
892,663.0
893,664.0
894,663.0
895,663.0
896,664.0
897,664.0
898,663.0
899,664.0
900,664.0
901,663.0
902,664.0
903,664.0
904,663.0
905,664.0
906,663.0
907,663.0
908,664.0
909,663.0
910,663.0
911,664.0
912,663.0
913,664.0
914,663.0
915,662.0
916,663.0
917,664.0
918,663.0
919,664.0
920,664.0
921,663.0
922,664.0
923,663.0
924,663.0
925,664.0
926,663.0
927,663.0
928,664.0
929,663.0
930,663.0
931,664.0
932,663.0
933,663.0
934,664.0
935,663.0
936,663.0
937,664.0
938,663.0
939,663.0
940,664.0
941,663.0
942,664.0
943,663.0
944,663.0
945,664.0
946,663.0
947,663.0
948,664.0
949,663.0
950,663.0
951,664.0
952,663.0
953,663.0
954,664.0
955,663.0
956,664.0
957,664.0
958,663.0
959,663.0
960,664.0
961,663.0
962,664.0
963,663.0
964,663.0
965,664.0
966,663.0
967,663.0
968,664.0
969,663.0
970,663.0
971,664.0
972,663.0
973,663.0
974,664.0
975,663.0
976,663.0
977,664.0
978,663.0
979,663.0
980,663.0
981,663.0
982,664.0
983,664.0
984,663.0
985,664.0
986,663.0
987,663.0
988,664.0
989,663.0
990,663.0
991,664.0
992,663.0
993,663.0
994,664.0
995,663.0
996,663.0
997,664.0
998,663.0
999,663.0
1000,664.0
1001,663.0
1002,664.0
1003,664.0
1004,663.0
1005,664.0
1006,664.0
1007,663.0
1008,664.0
1009,664.0
1010,663.0
1011,664.0
1012,663.0
1013,663.0
1014,664.0
1015,663.0
1016,663.0
1017,664.0
1018,663.0
1019,663.0
1020,663.0
1021,663.0
1022,664.0
1023,664.0
1024,663.0
1025,664.0
1026,664.0
1027,663.0
1028,663.0
1029,663.0
1030,663.0
1031,664.0
1032,663.0
1033,663.0
1034,664.0
1035,663.0
1036,663.0
1037,664.0
1038,663.0
1039,663.0
1040,664.0
1041,663.0
1042,663.0
1043,664.0
1044,663.0
1045,664.0
1046,663.0
1047,663.0
1048,664.0
1049,663.0
1050,663.0
1051,664.0
1052,663.0
1053,663.0
1054,664.0
1055,663.0
1056,663.0
1057,664.0
1058,663.0
1059,663.0
1060,664.0
1061,663.0
1062,664.0
1063,664.0
1064,663.0
1065,664.0
1066,664.0
1067,663.0
1068,664.0
1069,663.0
1070,663.0
1071,664.0
1072,663.0
1073,663.0
1074,664.0
1075,663.0
1076,663.0
1077,664.0
1078,663.0
1079,664.0
1080,664.0
1081,663.0
1082,663.0
1083,664.0
1084,663.0
1085,664.0
1086,664.0
1087,663.0
1088,664.0
1089,664.0
1090,663.0
1091,664.0
1092,663.0
1093,663.0
1094,664.0
1095,663.0
1096,663.0
1097,664.0
1098,663.0
1099,663.0
1100,664.0
1101,663.0
1102,663.0
1103,664.0
1104,663.0
1105,664.0
1106,664.0
1107,663.0
1108,664.0
1109,663.0
1110,663.0
1111,664.0
1112,663.0
1113,663.0
1114,663.0
1115,663.0
1116,663.0
1117,664.0
1118,663.0
1119,663.0
1120,664.0
1121,663.0
1122,663.0
1123,664.0
1124,663.0
1125,664.0
1126,664.0
1127,663.0
1128,663.0
1129,663.0
1130,663.0
1131,664.0
1132,663.0
1133,663.0
1134,663.0
1135,663.0
1136,663.0
1137,664.0
1138,663.0
1139,663.0
1140,664.0
1141,663.0
1142,663.0
1143,664.0
1144,663.0
1145,664.0
1146,663.0
1147,663.0
1148,664.0
1149,664.0
1150,663.0
1151,664.0
1152,663.0
1153,663.0
1154,664.0
1155,663.0
1156,663.0
1157,664.0
1158,663.0
1159,663.0
1160,664.0
1161,663.0
1162,663.0
1163,664.0
1164,663.0
1165,663.0
1166,664.0
1167,662.0
1168,663.0
1169,664.0
1170,662.0
1171,663.0
1172,663.0
1173,663.0
1174,664.0
1175,664.0
1176,663.0
1177,663.0
1178,663.0
1179,663.0
