,emg
7788,-81272
7789,-82026
7790,-84526
7791,-80164
7792,-76377
7793,-71605
7794,-70057
7795,-68736
7796,-72314
7797,-74857
7798,-77875
7799,-85808
7800,-88926
7801,-79102
7802,-69517
7803,-68764
7804,-69582
7805,-68427
7806,-69816
7807,-74284
7808,-79592
7809,-84696
7810,-83644
7811,-78383
7812,-75559
7813,-76504
7814,-73227
7815,-67649
7816,-68422
7817,-73360
7818,-76935
7819,-79497
7820,-80107
7821,-78431
7822,-74806
7823,-73331
7824,-70107
7825,-68769
7826,-71781
7827,-76169
7828,-80170
7829,-83401
7830,-84604
7831,-82339
7832,-78375
7833,-72267
7834,-67023
7835,-68599
7836,-71400
7837,-75157
7838,-79596
7839,-80417
7840,-80757
7841,-81217
7842,-81094
7843,-78507
7844,-67457
7845,-61337
7846,-68672
7847,-78355
7848,-79737
7849,-79387
7850,-80401
7851,-81349
7852,-78158
7853,-73402
7854,-70976
7855,-70913
7856,-72660
7857,-75644
7858,-80111
7859,-82667
7860,-80570
7861,-78126
7862,-76374
7863,-74556
7864,-71113
7865,-70821
7866,-75824
7867,-81345
7868,-80894
7869,-78000
7870,-76705
7871,-77962
7872,-76879
7873,-72291
7874,-74767
7875,-77648
7876,-71689
7877,-68647
7878,-73065
7879,-76828
7880,-78852
7881,-79471
7882,-76082
7883,-72496
7884,-72277
7885,-72497
7886,-69892
7887,-71289
7888,-77632
7889,-79517
7890,-79577
7891,-78394
7892,-75914
7893,-73882
7894,-73419
7895,-73741
7896,-74356
7897,-74216
7898,-76366
7899,-79783
7900,-81804
7901,-78744
7902,-75598
7903,-73776
7904,-72289
7905,-70824
7906,-70929
7907,-72801
7908,-79252
7909,-82621
7910,-82529
7911,-78760
7912,-73708
7913,-72385
7914,-69781
7915,-69769
7916,-72367
7917,-75627
7918,-78996
7919,-85451
7920,-90718
7921,-86422
7922,-74883
7923,-69701
7924,-66837
7925,-66963
7926,-73259
7927,-78060
7928,-79753
7929,-80586
7930,-80319
7931,-81357
7932,-80054
7933,-77739
7934,-72672
7935,-72325
7936,-72467
7937,-69108
7938,-73603
7939,-81076
7940,-82634
7941,-81863
7942,-79496
7943,-74377
7944,-67314
7945,-63544
7946,-69260
7947,-74926
7948,-76956
7949,-79756
7950,-79827
7951,-78400
7952,-73172
7953,-71586
7954,-71198
7955,-71172
7956,-75098
7957,-79077
7958,-81147
7959,-78212
7960,-74962
7961,-75777
7962,-73287
7963,-69761
7964,-67472
7965,-67722
7966,-70321
7967,-76191
7968,-81273
7969,-82689
7970,-78446
7971,-77509
7972,-74571
7973,-72143
7974,-71044
7975,-71155
7976,-72047
7977,-72506
7978,-71533
7979,-76560
7980,-84087
7981,-85864
7982,-79557
7983,-70301
7984,-65361
7985,-69287
7986,-73032
7987,-72370
7988,-75475
7989,-77557
7990,-79171
7991,-79119
7992,-77007
7993,-73850
7994,-71799
7995,-71892
7996,-74269
7997,-76496
7998,-78824
7999,-83747
8000,-82459
8001,-76055
8002,-73114
8003,-71888
8004,-72832
8005,-76585
8006,-77717
8007,-75484
8008,-74460
8009,-75537
8010,-76635
8011,-77887
8012,-77837
8013,-76273
8014,-73442
8015,-72543
8016,-72080
8017,-74341
8018,-76279
8019,-76153
8020,-76893
8021,-77261
8022,-75904
8023,-74252
8024,-72885
8025,-73771
8026,-75707
8027,-77721
8028,-77153
8029,-74793
8030,-76035
8031,-76790
8032,-74208
8033,-71256
8034,-69956
8035,-70688
8036,-73414
8037,-74672
8038,-74508
8039,-78564
8040,-78869
8041,-79095
8042,-76325
8043,-70723
8044,-65390
8045,-67694
8046,-73309
8047,-79114
8048,-82942
8049,-81046
8050,-76685
8051,-75357
8052,-72879
8053,-69789
8054,-68892
8055,-70268
8056,-71937
8057,-73979
8058,-76282
8059,-80071
8060,-81387
8061,-79085
8062,-74474
8063,-71369
8064,-72424
8065,-71791
8066,-71919
8067,-74899
8068,-80914
8069,-86691
8070,-84942
8071,-79447
8072,-76059
8073,-71277
8074,-67112
8075,-70027
8076,-73874
8077,-76342
8078,-81051
8079,-80290
8080,-76444
8081,-78396
8082,-76659
8083,-74452
8084,-72581
8085,-72891
8086,-71179
8087,-73125
8088,-76602
8089,-80074
8090,-81923
8091,-81616
8092,-77619
8093,-74611
8094,-72442
8095,-70809
8096,-71519
8097,-75472
8098,-76071
8099,-79169
8100,-81546
8101,-80662
8102,-79498
8103,-79079
8104,-78505
8105,-71744
8106,-64256
8107,-68300
8108,-73527
8109,-78900
8110,-82421
8111,-81302
8112,-76390
8113,-72614
8114,-71636
8115,-72000
8116,-72134
8117,-74263
8118,-77163
8119,-79365
8120,-80069
8121,-78926
8122,-75777
8123,-71818
8124,-68427
8125,-68186
8126,-70096
8127,-73439
8128,-76985
8129,-80226
8130,-83013
8131,-82919
8132,-77527
8133,-69914
8134,-67976
8135,-70056
8136,-72842
8137,-73977
8138,-77146
8139,-80720
8140,-81051
8141,-79114
8142,-75926
8143,-72371
8144,-70699
8145,-70216
8146,-69941
8147,-72230
8148,-76562
8149,-79544
8150,-79003
8151,-76177
8152,-73334
8153,-71542
8154,-70394
8155,-71504
8156,-72173
8157,-74391
8158,-78572
8159,-81079
8160,-80541
8161,-81616
8162,-78632
8163,-71087
8164,-69949
8165,-69461
8166,-71452
8167,-75245
8168,-77964
8169,-79399
8170,-81061
8171,-80329
8172,-76018
8173,-70750
8174,-67778
8175,-67873
8176,-72182
8177,-79285
8178,-81483
8179,-83550
8180,-83247
8181,-76706
8182,-71416
8183,-73060
8184,-72976
8185,-68896
8186,-70952
8187,-76180
8188,-80729
8189,-84959
8190,-85537
8191,-81507
8192,-74989
8193,-72895
8194,-71141
8195,-70732
8196,-72619
8197,-75954
8198,-78594
8199,-81184
8200,-82133
8201,-81011
8202,-78842
8203,-75159
8204,-71443
8205,-70957
8206,-73412
8207,-76202
8208,-78981
8209,-79943
8210,-81356
8211,-79569
8212,-75726
8213,-76039
8214,-73206
8215,-71075
8216,-71377
8217,-74784
8218,-80044
8219,-83663
8220,-83788
8221,-82231
8222,-76994
8223,-72388
8224,-71638
8225,-73514
8226,-75797
8227,-78289
8228,-80889
8229,-82959
8230,-83069
8231,-81289
8232,-80581
8233,-77386
8234,-74446
8235,-76004
8236,-78834
8237,-83844
8238,-86146
8239,-83619
8240,-83892
8241,-83912
8242,-80759
8243,-75429
8244,-70670
8245,-70360
8246,-74426
8247,-78671
8248,-82093
8249,-82374
8250,-79916
8251,-77651
8252,-74313
8253,-72294
8254,-68831
8255,-68932
8256,-70717
8257,-72924
8258,-75999
8259,-78755
8260,-78456
8261,-76510
8262,-73580
8263,-70332
8264,-68133
8265,-68052
8266,-68867
8267,-71242
8268,-73847
8269,-76386
8270,-76971
8271,-74817
8272,-70324
8273,-67239
8274,-66035
8275,-64982
8276,-65357
8277,-68151
8278,-71103
8279,-72826
8280,-72591
8281,-69808
8282,-65815
8283,-62642
8284,-59268
8285,-59424
8286,-63427
8287,-67728
8288,-69818
8289,-67539
8290,-65387
8291,-64581
8292,-61404
8293,-58466
8294,-57136
8295,-59083
8296,-61719
8297,-63637
8298,-64878
8299,-65919
8300,-67257
8301,-66293
8302,-63025
8303,-60434
8304,-59157
8305,-59275
8306,-61313
8307,-65443
8308,-66839
8309,-65600
8310,-65726
8311,-67169
8312,-65681
8313,-62617
8314,-60327
8315,-59786
8316,-61082
8317,-63666
8318,-66389
8319,-68277
8320,-68402
8321,-67127
8322,-64447
8323,-61957
8324,-58918
8325,-57349
8326,-59500
8327,-63189
8328,-64326
8329,-64068
8330,-63031
8331,-60822
8332,-57754
8333,-54431
8334,-50994
8335,-50303
8336,-52264
8337,-54095
8338,-55525
8339,-56524
8340,-55117
8341,-52886
8342,-47834
8343,-42788
8344,-40772
8345,-41147
8346,-44537
8347,-46861
8348,-48146
8349,-49266
8350,-51382
8351,-51848
8352,-51214
8353,-49088
8354,-48304
8355,-49065
8356,-50117
8357,-54186
8358,-59629
8359,-61332
8360,-61646
8361,-60945
8362,-59300
8363,-56959
8364,-56442
8365,-56549
8366,-57563
8367,-62695
8368,-68371
8369,-70600
8370,-70812
8371,-69676
8372,-67176
8373,-64776
8374,-63072
8375,-62994
8376,-64208
8377,-66730
8378,-69228
8379,-70757
8380,-70539
8381,-69311
8382,-66798
8383,-64279
8384,-62942
8385,-63072
8386,-63912
8387,-65442
8388,-70053
8389,-75421
8390,-76205
8391,-74160
8392,-70167
8393,-66255
8394,-63844
8395,-64459
8396,-66281
8397,-69101
8398,-71626
8399,-74165
8400,-73918
8401,-72429
8402,-70350
8403,-69019
8404,-67064
8405,-66853
8406,-68842
8407,-70869
8408,-73676
8409,-76353
8410,-76311
8411,-75492
8412,-73157
8413,-70331
8414,-68422
8415,-68116
8416,-69386
8417,-72467
8418,-74770
8419,-75622
8420,-75147
8421,-74159
8422,-71902
8423,-68264
8424,-66232
8425,-66055
8426,-67963
8427,-70707
8428,-73401
8429,-74516
8430,-73737
8431,-72010
8432,-69136
8433,-66722
8434,-65041
8435,-64404
8436,-64751
8437,-68232
8438,-72439
8439,-73392
8440,-71929
8441,-68628
8442,-66792
8443,-67214
8444,-64511
8445,-64407
8446,-65506
8447,-67747
8448,-70284
8449,-71789
8450,-71291
8451,-69149
8452,-66859
8453,-63290
8454,-60582
8455,-61373
8456,-63620
8457,-66271
8458,-68428
8459,-69936
8460,-70421
8461,-69429
8462,-65513
8463,-62277
8464,-60431
8465,-60869
8466,-63394
8467,-66222
8468,-69128
8469,-70586
8470,-69711
8471,-68273
8472,-65775
8473,-63091
8474,-61328
8475,-61499
8476,-62907
8477,-65534
8478,-68670
8479,-70257
8480,-69546
8481,-67697
8482,-64827
8483,-62003
8484,-60408
8485,-60557
8486,-61964
8487,-64632
8488,-67437
8489,-68982
8490,-68362
8491,-66254
8492,-63196
8493,-60806
8494,-59457
8495,-59599
8496,-60964
8497,-64357
8498,-66961
8499,-68812
8500,-68466
8501,-66609
8502,-63577
8503,-60822
8504,-59295
8505,-59409
8506,-60946
8507,-64524
8508,-67994
8509,-70104
8510,-69682
8511,-67852
8512,-64737
8513,-61804
8514,-60189
8515,-60297
8516,-62071
8517,-65129
8518,-67879
8519,-69403
8520,-69076
8521,-66961
8522,-63734
8523,-61242
8524,-59659
8525,-59939
8526,-61615
8527,-64434
8528,-67477
8529,-69330
8530,-68979
8531,-66822
8532,-63761
8533,-61007
8534,-59554
8535,-60287
8536,-62110
8537,-65008
8538,-67447
8539,-68562
8540,-67601
8541,-65648
8542,-63502
8543,-61624
8544,-59260
8545,-59322
8546,-61243
8547,-64222
8548,-67116
8549,-68677
8550,-68347
8551,-66537
8552,-63556
8553,-60867
8554,-59480
8555,-59822
8556,-61774
8557,-64502
8558,-66826
8559,-68291
8560,-67474
8561,-65746
8562,-63241
8563,-60445
8564,-58372
8565,-58186
8566,-60587
8567,-62699
8568,-65474
8569,-67462
8570,-67167
8571,-65207
8572,-62297
8573,-59524
8574,-57769
8575,-58047
8576,-59517
8577,-62665
8578,-65895
8579,-67580
8580,-67258
8581,-65407
8582,-62452
8583,-59842
8584,-58424
8585,-58892
8586,-60737
8587,-63787
8588,-66631
8589,-68175
8590,-67847
8591,-66176
8592,-62711
8593,-59596
8594,-58947
8595,-59539
8596,-60714
8597,-63964
8598,-66983
8599,-68571
8600,-68170
8601,-66485
8602,-63315
8603,-59916
8604,-58004
8605,-58457
8606,-60391
8607,-63535
8608,-66439
8609,-68107
8610,-67590
8611,-65185
8612,-62191
8613,-59944
8614,-58414
8615,-58359
8616,-59948
8617,-63172
8618,-66210
8619,-67769
8620,-67164
8621,-65304
8622,-62266
8623,-59884
8624,-58375
8625,-58354
8626,-59946
8627,-63293
8628,-66298
8629,-67752
8630,-67405
8631,-65714
8632,-62736
8633,-59917
8634,-58409
8635,-59104
8636,-60956
8637,-63767
8638,-66840
8639,-68991
8640,-68822
8641,-66861
8642,-63661
8643,-61094
8644,-59851
8645,-60221
8646,-61867
8647,-64744
8648,-67473
8649,-69205
8650,-69594
8651,-68346
8652,-64797
8653,-62067
8654,-61287
8655,-61226
8656,-62707
8657,-65711
8658,-68637
8659,-70217
8660,-69685
8661,-67672
8662,-64651
8663,-62226
8664,-60754
8665,-60928
8666,-62771
8667,-65790
8668,-68434
8669,-69908
8670,-69674
8671,-67451
8672,-63924
8673,-61224
8674,-59409
8675,-59615
8676,-61328
8677,-64123
8678,-66996
8679,-68503
8680,-68326
8681,-66127
8682,-62844
8683,-59917
8684,-58384
8685,-58756
8686,-60552
8687,-63573
8688,-66367
8689,-67821
8690,-67214
8691,-64789
8692,-61677
8693,-59369
8694,-58741
8695,-58792
8696,-59872
8697,-62841
8698,-65800
8699,-67367
8700,-66847
8701,-64824
8702,-61627
8703,-58510
8704,-56578
8705,-57036
8706,-59517
8707,-61850
8708,-65560
8709,-67444
8710,-66606
8711,-64668
8712,-61566
8713,-58585
8714,-56930
8715,-57286
8716,-59060
8717,-62048
8718,-64881
8719,-66426
8720,-65981
8721,-64142
8722,-61059
8723,-58154
8724,-56540
8725,-56847
8726,-58680
8727,-61502
8728,-64251
8729,-65826
8730,-65467
8731,-64102
8732,-60450
8733,-57560
8734,-56161
8735,-56521
8736,-58110
8737,-61223
8738,-64077
8739,-65537
8740,-64269
8741,-62771
8742,-60869
8743,-58157
8744,-55980
8745,-56213
8746,-58057
8747,-61233
8748,-64191
8749,-65501
8750,-64770
8751,-62997
8752,-59807
8753,-56596
8754,-55642
8755,-56476
8756,-57992
8757,-60969
8758,-64007
8759,-65634
8760,-65145
8761,-63350
8762,-60427
8763,-57604
8764,-55961
8765,-56411
8766,-58267
8767,-61406
8768,-64369
8769,-65875
8770,-65646
8771,-64092
8772,-60879
8773,-57942
8774,-56511
8775,-56977
8776,-58886
8777,-61977
8778,-64916
8779,-66582
8780,-66199
8781,-64383
8782,-61304
8783,-58499
8784,-56802
8785,-56971
8786,-58954
8787,-62512
8788,-65419
8789,-66822
8790,-66376
8791,-64632
8792,-61470
8793,-58611
8794,-56759
8795,-57042
8796,-59506
8797,-63066
8798,-65496
8799,-66967
8800,-66499
8801,-64682
8802,-61714
8803,-58757
8804,-57249
8805,-57531
8806,-59239
8807,-62371
8808,-65264
8809,-66767
8810,-66371
8811,-64532
8812,-61411
8813,-58489
8814,-56880
8815,-57308
8816,-59080
8817,-62094
8818,-65023
8819,-66760
8820,-66531
8821,-64649
8822,-61476
8823,-58211
8824,-56269
8825,-56601
8826,-58817
8827,-62045
8828,-64864
8829,-66541
8830,-66240
8831,-64441
8832,-61164
8833,-58237
8834,-56871
8835,-57142
8836,-58914
8837,-61858
8838,-64116
8839,-65980
8840,-66539
8841,-64313
8842,-61410
8843,-58436
8844,-56966
8845,-57496
8846,-59131
8847,-62207
8848,-65049
8849,-66564
8850,-66186
8851,-64350
8852,-61026
8853,-58003
8854,-56522
8855,-57216
8856,-59135
8857,-61974
8858,-64831
8859,-66432
8860,-66084
8861,-64111
8862,-60916
8863,-58152
8864,-56527
8865,-56782
8866,-58479
8867,-61601
8868,-64487
8869,-66184
8870,-65716
8871,-63716
8872,-60447
8873,-57789
8874,-56325
8875,-56642
8876,-58382
8877,-61409
8878,-64234
8879,-65792
8880,-65387
8881,-63498
8882,-60461
8883,-57641
8884,-56090
8885,-56485
8886,-58283
8887,-61372
8888,-64250
8889,-65813
8890,-65528
8891,-63761
8892,-60786
8893,-57942
8894,-56327
8895,-56734
8896,-58347
8897,-61244
8898,-64032
8899,-65754
8900,-65561
8901,-63849
8902,-60647
8903,-57944
8904,-56715
8905,-56841
8906,-58207
8907,-61399
8908,-64011
8909,-65754
8910,-65944
8911,-64008
8912,-60717
8913,-57881
8914,-56357
8915,-56604
8916,-58426
8917,-61414
8918,-64184
8919,-65749
8920,-65613
8921,-63925
8922,-60342
8923,-57501
8924,-55961
8925,-56192
8926,-58125
8927,-61071
8928,-63791
8929,-65678
8930,-65261
8931,-63324
8932,-60152
8933,-57070
8934,-55446
8935,-55821
8936,-57871
8937,-61025
8938,-63984
8939,-65441
8940,-64761
8941,-62883
8942,-59801
8943,-56793
8944,-55301
8945,-55511
8946,-57579
8947,-60792
8948,-63559
8949,-65072
8950,-64619
8951,-62642
8952,-59252
8953,-56414
8954,-55371
8955,-55994
8956,-57896
8957,-60811
8958,-63420
8959,-65169
8960,-64766
8961,-62915
8962,-59781
8963,-56862
8964,-55251
8965,-55625
8966,-57499
8967,-60525
8968,-63291
8969,-65236
8970,-64871
8971,-63112
8972,-59902
8973,-56944
8974,-55260
8975,-55571
8976,-57382
8977,-60663
8978,-63461
8979,-65033
8980,-64524
8981,-62741
8982,-59690
8983,-56874
8984,-55201
8985,-55678
8986,-57567
8987,-60410
8988,-63425
8989,-64987
8990,-64657
8991,-62785
8992,-59881
8993,-57027
8994,-55274
8995,-55489
8996,-57791
8997,-60862
8998,-63646
8999,-65193
9000,-64641
9001,-63121
9002,-60254
9003,-57413
9004,-55651
9005,-56055
9006,-57797
9007,-60909
9008,-63721
9009,-65082
9010,-64828
9011,-63237
9012,-60411
9013,-57496
9014,-55861
9015,-56599
9016,-58286
9017,-61066
9018,-64049
9019,-65656
9020,-65352
9021,-63527
9022,-60344
9023,-57457
9024,-55869
9025,-56186
9026,-58026
9027,-61222
9028,-64266
9029,-65894
9030,-65419
9031,-63678
9032,-60123
9033,-57288
9034,-56182
9035,-56571
9036,-58290
9037,-61309
9038,-64131
9039,-65671
9040,-65450
9041,-63586
9042,-60284
9043,-57139
9044,-55946
9045,-56343
9046,-58025
9047,-61225
9048,-64229
9049,-65758
9050,-65110
9051,-63202
9052,-60063
9053,-57455
9054,-55764
9055,-55748
9056,-57520
9057,-60712
9058,-63872
9059,-65901
9060,-65379
9061,-63357
9062,-60359
9063,-57452
9064,-55617
9065,-55558
9066,-57801
9067,-61700
9068,-64771
9069,-65549
9070,-64713
9071,-63055
9072,-60001
9073,-56937
9074,-55399
9075,-56082
9076,-57697
9077,-60732
9078,-63786
9079,-65340
9080,-64772
9081,-62546
9082,-59559
9083,-56951
9084,-55484
9085,-55841
9086,-57556
9087,-60748
9088,-63661
9089,-65199
9090,-64836
9091,-62931
9092,-59752
9093,-56847
9094,-55236
9095,-55522
9096,-57337
9097,-60403
9098,-63164
9099,-64746
9100,-64441
9101,-62653
9102,-59552
9103,-56684
9104,-55339
9105,-55604
9106,-57237
9107,-60389
9108,-63082
9109,-64674
9110,-64664
9111,-62597
9112,-58986
9113,-56305
9114,-55233
9115,-55609
9116,-57587
9117,-60454
9118,-63061
9119,-64777
9120,-64607
9121,-62592
9122,-59194
9123,-56206
9124,-54729
9125,-56040
9126,-57991
9127,-60378
9128,-63088
9129,-64809
9130,-64690
9131,-62937
9132,-59742
9133,-56792
9134,-55171
9135,-55726
9136,-57473
9137,-60742
9138,-63686
9139,-65147
9140,-64666
9141,-62792
9142,-59734
9143,-56842
9144,-55179
9145,-55421
9146,-57286
9147,-60470
9148,-63563
9149,-65074
9150,-64092
9151,-62338
9152,-60120
9153,-57186
9154,-55347
9155,-55649
9156,-57597
9157,-60811
9158,-63694
9159,-65168
9160,-65041
9161,-63026
9162,-59286
9163,-56756
9164,-55372
9165,-55702
9166,-57567
9167,-60662
9168,-63552
9169,-65037
9170,-64845
9171,-63095
9172,-59713
9173,-56598
9174,-55208
9175,-55716
9176,-57449
9177,-60507
9178,-63684
9179,-65156
9180,-64619
9181,-62946
9182,-59931
9183,-56919
9184,-55397
9185,-55651
9186,-57544
9187,-60692
9188,-63696
9189,-65206
9190,-64590
9191,-62874
9192,-59802
9193,-56857
9194,-55366
9195,-55713
9196,-57550
9197,-60431
9198,-63357
9199,-65172
9200,-64604
9201,-62887
9202,-59536
9203,-56485
9204,-54741
9205,-55054
9206,-57136
9207,-60671
9208,-63916
9209,-65236
9210,-64716
9211,-62995
9212,-59531
9213,-56629
9214,-54880
9215,-55034
9216,-57744
9217,-60977
9218,-63348
9219,-64822
9220,-64577
9221,-62760
9222,-59400
9223,-56344
9224,-55009
9225,-55469
9226,-57258
9227,-60404
9228,-63281
9229,-64831
9230,-64404
9231,-62564
9232,-59463
9233,-56559
9234,-54991
9235,-55404
9236,-57230
9237,-60339
9238,-63162
9239,-64779
9240,-64631
9241,-62537
9242,-59409
9243,-56511
9244,-54801
9245,-54989
9246,-56974
9247,-60114
9248,-62942
9249,-64796
9250,-64366
9251,-62452
9252,-59168
9253,-56372
9254,-55006
9255,-55372
9256,-57109
9257,-60161
9258,-63032
9259,-64456
9260,-64081
9261,-62255
9262,-59132
9263,-56122
9264,-55046
9265,-55399
9266,-57027
9267,-59892
9268,-62939
9269,-64969
9270,-64209
9271,-62261
9272,-59082
9273,-56141
9274,-54607
9275,-55010
9276,-56796
9277,-60001
9278,-62876
9279,-64351
9280,-63900
9281,-62009
9282,-58785
9283,-55776
9284,-54386
9285,-54977
9286,-56662
9287,-59799
9288,-62979
9289,-64364
9290,-63901
9291,-61877
9292,-58443
9293,-55868
9294,-54390
9295,-54564
9296,-56511
9297,-59766
9298,-62738
9299,-64172
9300,-63545
9301,-61848
9302,-58911
9303,-56051
9304,-54450
9305,-54778
9306,-56629
9307,-59771
9308,-62648
9309,-64330
9310,-63740
9311,-61880
9312,-58814
9313,-55792
9314,-54213
9315,-54817
9316,-56598
9317,-59589
9318,-62612
9319,-64367
9320,-63822
9321,-61815
9322,-58721
9323,-55809
9324,-54300
9325,-54687
9326,-56496
9327,-59712
9328,-62869
9329,-64324
9330,-63880
9331,-61907
9332,-58536
9333,-55584
9334,-54224
9335,-54500
9336,-56309
9337,-59696
9338,-62503
9339,-64075
9340,-63996
9341,-62012
9342,-58792
9343,-55942
9344,-54349
9345,-54599
9346,-56532
9347,-59946
9348,-62959
9349,-64461
9350,-63788
9351,-62317
9352,-59254
9353,-55982
9354,-54294
9355,-54826
9356,-56953
9357,-60201
9358,-62963
9359,-64484
9360,-63975
9361,-62007
9362,-58631
9363,-55879
9364,-54300
9365,-54939
9366,-57325
9367,-60299
9368,-63152
9369,-64631
9370,-64000
9371,-62307
9372,-59260
9373,-56238
9374,-54651
9375,-55069
9376,-56948
9377,-60099
9378,-62851
9379,-64460
9380,-64197
9381,-62284
9382,-58822
9383,-55932
9384,-54246
9385,-55100
9386,-57015
9387,-60016
9388,-63039
9389,-64717
9390,-64338
9391,-62364
9392,-59092
9393,-56172
9394,-54621
9395,-55019
9396,-56836
9397,-59876
9398,-62378
9399,-64211
9400,-64327
9401,-62588
9402,-59216
9403,-56141
9404,-54647
9405,-55255
9406,-57254
9407,-59989
9408,-62874
9409,-64494
9410,-64016
9411,-61947
9412,-58971
9413,-56277
9414,-54634
9415,-55003
9416,-57057
9417,-60070
9418,-62829
9419,-64306
9420,-63826
9421,-62030
9422,-58914
9423,-55986
9424,-54337
9425,-54897
9426,-56514
9427,-59818
9428,-62767
9429,-64289
9430,-63863
9431,-61856
9432,-58622
9433,-55690
9434,-54307
9435,-54753
9436,-56484
9437,-59571
9438,-62456
9439,-64017
9440,-63874
9441,-62001
9442,-58688
9443,-55590
9444,-54018
9445,-54439
9446,-56407
9447,-59472
9448,-62420
9449,-63909
9450,-63206
9451,-61204
9452,-58065
9453,-55259
9454,-54209
9455,-54604
9456,-56305
9457,-59267
9458,-62169
9459,-63757
9460,-63477
9461,-61762
9462,-58517
9463,-55340
9464,-53692
9465,-54263
9466,-56017
9467,-59251
9468,-62641
9469,-64136
9470,-63490
9471,-61601
9472,-58379
9473,-55464
9474,-53764
9475,-54282
9476,-56535
9477,-59554
9478,-62479
9479,-64046
9480,-63477
9481,-61609
9482,-58427
9483,-55334
9484,-53524
9485,-54053
9486,-56210
9487,-59540
9488,-62492
9489,-64002
9490,-63638
9491,-61666
9492,-58462
9493,-55491
9494,-53868
9495,-54400
9496,-56355
9497,-59577
9498,-62461
9499,-63987
9500,-63575
9501,-61692
9502,-58482
9503,-55536
9504,-53971
9505,-54412
9506,-56313
9507,-59599
9508,-62446
9509,-63385
9510,-62522
9511,-61469
9512,-59225
9513,-55750
9514,-53959
9515,-54595
9516,-56445
9517,-59511
9518,-62501
9519,-64061
9520,-63593
9521,-61661
9522,-58400
9523,-55357
9524,-53819
9525,-54494
9526,-56512
9527,-59482
9528,-62088
9529,-63767
9530,-63351
9531,-61362
9532,-58215
9533,-55268
9534,-53927
9535,-54188
9536,-55902
9537,-59246
9538,-62632
9539,-64121
9540,-63461
9541,-61515
9542,-58381
9543,-55452
9544,-53837
9545,-54109
9546,-56140
9547,-59457
9548,-62393
9549,-63970
9550,-63498
9551,-61526
9552,-58201
9553,-55204
9554,-53876
9555,-54296
9556,-56216
9557,-59418
9558,-62301
9559,-63930
9560,-63372
9561,-61325
9562,-58037
9563,-55278
9564,-53907
9565,-54061
9566,-55941
9567,-59538
9568,-62547
9569,-63856
9570,-63379
9571,-61522
9572,-58240
9573,-55266
9574,-53614
9575,-54054
9576,-56022
9577,-59374
9578,-62412
9579,-63864
9580,-63390
9581,-61368
9582,-58064
9583,-55259
9584,-53682
9585,-54117
9586,-56357
9587,-59530
9588,-62249
9589,-63882
9590,-63547
9591,-61563
9592,-58101
9593,-55026
9594,-53344
9595,-54314
9596,-56285
9597,-59254
9598,-62530
9599,-64098
9600,-63601
9601,-61457
9602,-57905
9603,-55387
9604,-53946
9605,-54761
9606,-56708
9607,-59671
9608,-62501
9609,-63978
9610,-63552
9611,-61546
9612,-58350
9613,-55608
9614,-53922
9615,-53909
9616,-55697
9617,-59429
9618,-62354
9619,-63770
9620,-63259
9621,-61414
9622,-58230
9623,-55067
9624,-53586
9625,-54269
9626,-56076
9627,-59200
9628,-62173
9629,-63766
9630,-63241
9631,-61262
9632,-57983
9633,-55015
9634,-53370
9635,-53752
9636,-55574
9637,-58828
9638,-62179
9639,-63692
9640,-63079
9641,-61121
9642,-57828
9643,-54838
9644,-53224
9645,-53652
9646,-55692
9647,-58919
9648,-61675
9649,-62754
9650,-62494
9651,-61477
9652,-58348
9653,-55053
9654,-53162
9655,-53711
9656,-55820
9657,-58919
9658,-61878
9659,-63372
9660,-62879
9661,-60955
9662,-57807
9663,-54802
9664,-53239
9665,-53794
9666,-55669
9667,-58982
9668,-62067
9669,-63474
9670,-63082
9671,-61054
9672,-57547
9673,-54569
9674,-53011
9675,-53769
9676,-55949
9677,-59126
9678,-62149
9679,-63583
9680,-63029
9681,-60915
9682,-57872
9683,-54900
9684,-53650
9685,-53966
9686,-55739
9687,-59120
9688,-62094
9689,-63657
9690,-63070
9691,-60988
9692,-57746
9693,-54839
9694,-53271
9695,-54056
9696,-55990
9697,-59165
9698,-62196
9699,-63695
9700,-63274
9701,-61351
9702,-58122
9703,-55334
9704,-53727
9705,-54074
9706,-56066
9707,-59370
9708,-62309
9709,-63892
9710,-63328
9711,-61293
9712,-58077
9713,-55201
9714,-53605
9715,-54115
9716,-56172
9717,-59444
9718,-62159
9719,-63639
9720,-63492
9721,-61637
9722,-58296
9723,-55312
9724,-53735
9725,-54274
9726,-56225
9727,-59599
9728,-62497
9729,-64020
9730,-63491
9731,-61484
9732,-58290
9733,-55299
9734,-53427
9735,-53935
9736,-56066
9737,-59164
9738,-62266
9739,-64246
9740,-63715
9741,-61641
9742,-58216
9743,-55137
9744,-53530
9745,-54059
9746,-56091
9747,-59296
9748,-62158
9749,-63707
9750,-63117
9751,-61103
9752,-57819
9753,-54523
9754,-52828
9755,-53337
9756,-55776
9757,-58934
9758,-61837
9759,-63436
9760,-62930
9761,-60767
9762,-57468
9763,-54531
9764,-53219
9765,-53749
9766,-55521
9767,-58576
9768,-61651
9769,-63259
9770,-62666
9771,-60599
9772,-57241
9773,-54317
9774,-52573
9775,-52955
9776,-54977
9777,-58289
9778,-61366
9779,-62926
9780,-62364
9781,-60347
9782,-57158
9783,-53976
9784,-52273
9785,-52844
9786,-54789
