,emg
532,-53071
533,-49404
534,-46479
535,-46364
536,-47770
537,-50152
538,-53564
539,-56305
540,-56936
541,-55550
542,-53076
543,-49451
544,-46731
545,-46476
546,-47672
547,-50419
548,-53780
549,-55735
550,-56323
551,-54826
552,-51763
553,-48405
554,-46527
555,-45766
556,-47024
557,-49903
558,-53599
559,-56051
560,-56597
561,-55404
562,-52811
563,-49374
564,-46839
565,-46252
566,-47323
567,-49915
568,-53288
569,-56073
570,-56649
571,-54921
572,-51892
573,-48540
574,-46049
575,-45269
576,-46316
577,-49140
578,-53033
579,-55723
580,-56079
581,-54706
582,-51875
583,-48566
584,-45897
585,-45206
586,-46245
587,-48504
588,-51948
589,-54669
590,-55496
591,-53832
592,-50979
593,-47824
594,-45052
595,-44616
596,-46338
597,-49208
598,-52882
599,-55304
600,-55713
601,-54084
602,-51475
603,-48304
604,-46034
605,-45334
606,-46471
607,-49467
608,-52750
609,-55032
610,-55806
611,-54461
612,-51669
613,-48551
614,-46534
615,-45927
616,-47229
617,-49961
618,-53068
619,-55425
620,-55983
621,-54947
622,-52171
623,-48853
624,-46791
625,-46569
626,-47481
627,-49724
628,-53266
629,-56589
630,-57096
631,-55592
632,-52436
633,-49219
634,-47324
635,-46796
636,-48516
637,-51022
638,-53988
639,-56670
640,-57555
641,-55848
642,-52712
643,-49148
644,-47538
645,-47477
646,-48103
647,-50762
648,-54187
649,-56601
650,-56966
651,-55602
652,-52751
653,-49301
654,-46804
655,-46302
656,-48083
657,-51508
658,-54734
659,-56504
660,-56931
661,-55796
662,-52937
663,-49574
664,-47324
665,-46526
666,-47565
667,-50121
668,-53851
669,-56717
670,-57272
671,-55810
672,-52658
673,-49089
674,-47322
675,-47184
676,-48241
677,-50824
678,-54486
679,-56986
680,-57373
681,-56025
682,-52991
683,-49577
684,-47562
685,-47177
686,-48452
687,-51228
688,-54269
689,-56731
690,-57884
691,-56990
692,-53837
693,-50699
694,-48181
695,-47527
696,-49036
697,-51715
698,-54989
699,-57347
700,-57708
701,-56355
702,-53625
703,-50275
704,-47884
705,-47203
706,-48494
707,-51281
708,-54710
709,-57386
710,-57986
711,-56274
712,-53269
713,-49864
714,-47717
715,-47133
716,-48332
717,-51030
718,-54082
719,-56099
720,-56647
721,-55487
722,-53062
723,-49851
724,-47172
725,-46230
726,-47383
727,-50605
728,-53841
729,-55853
730,-56165
731,-54871
732,-51992
733,-48512
734,-46230
735,-45848
736,-46879
737,-49834
738,-53130
739,-55160
740,-55822
741,-54474
742,-51740
743,-48449
744,-46074
745,-45714
746,-46762
747,-49314
748,-52567
749,-54729
750,-55174
751,-53636
752,-51134
753,-48645
754,-46107
755,-45417
756,-46612
757,-49366
758,-52644
759,-55007
760,-55414
761,-54076
762,-51441
763,-48236
764,-45687
765,-45096
766,-46442
767,-49037
768,-52359
769,-54679
770,-54896
771,-53413
772,-50761
773,-47193
774,-44981
775,-44704
776,-45921
777,-48733
778,-52469
779,-54627
780,-55010
781,-53281
782,-50764
783,-47271
784,-44803
785,-44308
786,-45390
787,-48092
788,-51378
789,-53656
790,-54144
791,-52776
792,-50025
793,-46804
794,-44505
795,-44001
796,-45256
797,-47944
798,-51260
799,-53687
800,-54282
801,-52995
802,-50317
803,-47042
804,-44676
805,-44229
806,-45376
807,-47601
808,-50579
809,-53202
810,-53784
811,-52557
812,-50332
813,-47132
814,-45246
815,-44277
816,-44559
817,-47342
818,-51278
819,-54307
820,-54979
821,-54194
822,-51202
823,-47833
824,-45291
825,-44630
826,-45955
827,-48812
828,-52171
829,-54554
830,-55096
831,-53831
832,-51203
833,-47944
834,-45666
835,-45213
836,-46443
837,-49160
838,-52436
839,-54789
840,-55321
841,-54025
842,-51127
843,-47779
844,-45618
845,-45521
846,-46877
847,-49187
848,-51834
849,-53807
850,-54987
851,-54606
852,-52242
853,-48217
854,-45175
855,-44897
856,-46453
857,-49511
858,-52494
859,-54544
860,-55235
861,-54292
862,-51481
863,-48211
864,-46044
865,-45774
866,-47200
867,-49771
868,-53045
869,-55350
870,-56090
871,-54881
872,-52254
873,-49026
874,-46542
875,-46166
876,-47529
877,-50246
878,-53549
879,-55867
880,-56337
881,-55211
882,-52351
883,-48657
884,-46687
885,-46871
886,-47834
887,-50672
888,-54339
889,-56110
890,-56476
891,-55144
892,-52762
893,-49679
894,-47337
895,-46618
896,-47728
897,-50926
898,-54214
899,-56471
900,-57112
901,-55687
902,-53001
903,-49622
904,-47361
905,-46604
906,-47637
907,-50545
908,-54148
909,-55936
910,-56285
911,-55380
912,-52587
913,-49008
914,-46948
915,-46592
916,-47963
917,-49995
918,-52924
919,-55894
920,-56759
921,-54949
922,-52541
923,-49477
924,-47345
925,-46282
926,-47299
927,-50276
928,-53482
929,-55359
930,-55625
931,-55036
932,-52645
933,-48994
934,-46703
935,-46179
936,-47478
937,-49817
938,-52966
939,-55704
940,-56083
941,-54759
942,-51899
943,-48509
944,-46368
945,-46006
946,-47320
947,-49976
948,-53246
949,-55499
950,-55726
951,-54136
952,-51446
953,-48326
954,-46471
955,-46011
956,-47156
957,-49719
958,-52826
959,-55016
960,-55421
961,-53999
962,-51272
963,-47882
964,-45511
965,-45837
966,-47226
967,-49677
968,-52683
969,-54999
970,-55714
971,-54239
972,-51270
973,-48296
974,-45880
975,-45244
976,-46441
977,-48714
978,-51850
979,-54786
980,-55086
981,-53369
982,-51026
983,-47730
984,-45302
985,-44740
986,-46027
987,-48451
988,-51541
989,-53866
990,-54531
991,-53823
992,-51232
993,-48026
994,-45467
995,-44854
996,-46061
997,-48586
998,-51692
999,-54259
1000,-54643
1001,-53021
1002,-50206
1003,-47598
1004,-45431
1005,-44358
1006,-45711
1007,-48473
1008,-51669
1009,-53796
1010,-54141
1011,-52628
1012,-50083
1013,-47126
1014,-45012
1015,-44352
1016,-46072
1017,-48716
1018,-51790
1019,-53794
1020,-54076
1021,-52831
1022,-50309
1023,-47689
1024,-45323
1025,-44887
1026,-45610
1027,-48203
1028,-51591
1029,-53767
1030,-54324
1031,-52587
1032,-49114
1033,-46059
1034,-45110
1035,-44936
1036,-45504
1037,-48506
1038,-51737
1039,-53739
1040,-54649
1041,-53397
1042,-50607
1043,-47169
1044,-44597
1045,-44191
1046,-45860
1047,-48436
1048,-51342
1049,-54008
1050,-54576
1051,-53261
1052,-50604
1053,-47211
1054,-44896
1055,-44493
1056,-45799
1057,-48446
1058,-51661
1059,-53646
1060,-53982
1061,-52838
1062,-50289
1063,-47407
1064,-45287
1065,-44712
1066,-46023
1067,-48398
1068,-51827
1069,-54106
1070,-54695
1071,-53532
1072,-50921
1073,-47762
1074,-45156
1075,-44773
1076,-46361
1077,-48820
1078,-51692
1079,-54012
1080,-54853
1081,-53402
1082,-50490
1083,-47684
1084,-45432
1085,-45527
1086,-46449
1087,-48750
1088,-52291
1089,-54737
1090,-55259
1091,-53951
1092,-51322
1093,-47977
1094,-45832
1095,-45451
1096,-46744
1097,-49488
1098,-52521
1099,-54709
1100,-55257
1101,-54346
1102,-51576
1103,-47536
1104,-45488
1105,-45920
1106,-46702
1107,-49166
1108,-52594
1109,-54853
1110,-55314
1111,-54396
1112,-51705
1113,-48337
1114,-46484
1115,-45991
1116,-47076
1117,-49588
1118,-52700
1119,-55101
1120,-55568
1121,-53717
1122,-50964
1123,-47726
1124,-46390
1125,-45896
1126,-46804
1127,-49542
1128,-53117
1129,-55530
1130,-55676
1131,-54282
1132,-51656
1133,-48328
1134,-46082
1135,-45653
1136,-46807
1137,-49364
1138,-52611
1139,-54781
1140,-55026
1141,-53716
1142,-51498
1143,-48369
1144,-46179
1145,-45540
1146,-46982
1147,-49526
1148,-52747
1149,-55122
1150,-55808
1151,-54327
1152,-51261
1153,-48216
1154,-46396
1155,-45742
1156,-46889
1157,-49556
1158,-53185
1159,-55249
1160,-55360
1161,-54694
1162,-52207
1163,-48803
1164,-46236
1165,-45552
1166,-46772
1167,-49467
1168,-52514
1169,-54943
1170,-55446
1171,-53931
1172,-51144
1173,-48096
1174,-45711
1175,-45277
1176,-46384
1177,-49114
1178,-52397
1179,-54509
1180,-55147
1181,-53845
1182,-51081
1183,-47779
1184,-45432
1185,-44881
1186,-46143
1187,-48599
